Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Computed Tomography scanners,Number,Lithuania,2018,68,1.83,Low
Positron Emission Tomography (PET) scanners,Per million population,Lithuania,2018,0.71,-0.15,Very Low
Computed Tomography scanners,Per million population,Lithuania,2018,24.27,1.39,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2018,12.49,1.1,Low
Mammographs,Number,Latvia,2018,51,1.71,Low
Gamma cameras,Number,Latvia,2018,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Latvia,2018,2,0.3,Very Low
Gamma cameras,Number,Lithuania,2018,8,0.9,Very Low
Gamma cameras,Per million population,Lithuania,2018,2.86,0.46,Very Low
Magnetic Resonance Imaging units,Number,Colombia,2018,12,1.08,Low
Computed Tomography scanners,Number,Colombia,2018,308,2.49,Medium
Computed Tomography scanners,Per million population,Colombia,2018,6.18,0.79,Very Low
Magnetic Resonance Imaging units,Per million population,Colombia,2018,0.24,-0.62,Very Low
Gamma cameras,Per million population,Croatia,2018,6.36,0.8,Very Low
Radiation therapy equipment,Per million population,Croatia,2018,5.62,0.75,Very Low
Mammographs,Per million population,Croatia,2018,34.22,1.53,Low
Computed Tomography scanners,Per million population,Croatia,2018,19.56,1.29,Low
Magnetic Resonance Imaging units,Per million population,Croatia,2018,12.47,1.1,Low
Positron Emission Tomography (PET) scanners,Per million population,Croatia,2018,1.22,0.09,Very Low
Mammographs,Per million population,Romania,2018,8.37,0.92,Very Low
Radiation therapy equipment,Per million population,Romania,2018,3.9,0.59,Very Low
Radiation therapy equipment,Number,Romania,2018,76,1.88,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2018,73,1.86,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2018,8,0.9,Very Low
Positron Emission Tomography (PET) scanners,Number,Croatia,2018,5,0.7,Very Low
Magnetic Resonance Imaging units,Number,Croatia,2018,51,1.71,Low
Computed Tomography scanners,Number,Bulgaria,2018,273,2.44,Medium
Gamma cameras,Number,Croatia,2018,26,1.41,Low
Radiation therapy equipment,Per million population,Bulgaria,2018,9.68,0.99,Very Low
Computed Tomography scanners,Per million population,Romania,2018,15.87,1.2,Low
Gamma cameras,Number,Bulgaria,2018,22,1.34,Low
Mammographs,Number,Bulgaria,2018,217,2.34,Medium
Mammographs,Number,Croatia,2018,140,2.15,Medium
Radiation therapy equipment,Number,Croatia,2018,23,1.36,Low
Magnetic Resonance Imaging units,Per million population,Romania,2018,8.99,0.95,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2018,0.41,-0.39,Very Low
Gamma cameras,Per million population,Romania,2018,2.46,0.39,Very Low
Radiation therapy equipment,Number,Bulgaria,2018,68,1.83,Low
Computed Tomography scanners,Number,Croatia,2018,80,1.9,Low
Gamma cameras,Per million population,Bulgaria,2018,3.13,0.5,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2018,1.14,0.06,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2018,8,0.9,Very Low
Gamma cameras,Number,Romania,2018,48,1.68,Low
Mammographs,Per million population,Bulgaria,2018,30.89,1.49,Low
Mammographs,Number,Romania,2018,163,2.21,Medium
Computed Tomography scanners,Per million population,Bulgaria,2018,38.86,1.59,Low
Magnetic Resonance Imaging units,Per million population,Bulgaria,2018,10.39,1.02,Low
Magnetic Resonance Imaging units,Number,Romania,2018,175,2.24,Medium
Computed Tomography scanners,Number,Romania,2018,309,2.49,Medium
Computed Tomography scanners,Number,Australia,2020,1739,3.24,High
Magnetic Resonance Imaging units,Number,Australia,2020,380,2.58,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2020,99,2,Low
Gamma cameras,Number,Australia,2020,442,2.65,Medium
Mammographs,Number,Australia,2020,541,2.73,Medium
Radiation therapy equipment,Number,Australia,2020,297,2.47,Medium
Computed Tomography scanners,Number,Austria,2020,254,2.4,Medium
Magnetic Resonance Imaging units,Number,Austria,2020,226,2.35,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2020,23,1.36,Low
Gamma cameras,Number,Austria,2020,91,1.96,Low
Mammographs,Number,Austria,2020,193,2.29,Medium
Radiation therapy equipment,Number,Austria,2020,51,1.71,Low
Computed Tomography scanners,Number,Belgium,2020,277,2.44,Medium
Magnetic Resonance Imaging units,Number,Belgium,2020,132,2.12,Medium
Positron Emission Tomography (PET) scanners,Number,Belgium,2020,33,1.52,Low
Gamma cameras,Number,Belgium,2020,311,2.49,Medium
Mammographs,Number,Belgium,2020,420,2.62,Medium
Mammographs,Number,Canada,2020,671,2.83,Medium
Radiation therapy equipment,Number,Canada,2020,109,2.04,Medium
Computed Tomography scanners,Number,Czechia,2020,174,2.24,Medium
Magnetic Resonance Imaging units,Number,Czechia,2020,118,2.07,Medium
Positron Emission Tomography (PET) scanners,Number,Czechia,2020,18,1.26,Low
Gamma cameras,Number,Czechia,2020,118,2.07,Medium
Mammographs,Number,Czechia,2020,113,2.05,Medium
Radiation therapy equipment,Number,Czechia,2020,82,1.91,Low
Radiation therapy equipment,Number,Denmark,2020,73,1.86,Low
Computed Tomography scanners,Number,Denmark,2020,237,2.37,Medium
Positron Emission Tomography (PET) scanners,Number,Denmark,2020,49,1.69,Low
Gamma cameras,Number,Denmark,2020,80,1.9,Low
Mammographs,Number,Denmark,2020,94,1.97,Low
Computed Tomography scanners,Number,Finland,2020,94,1.97,Low
Magnetic Resonance Imaging units,Number,Finland,2020,169,2.23,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2020,16,1.2,Low
Mammographs,Number,Finland,2020,171,2.23,Medium
Radiation therapy equipment,Number,Finland,2020,57,1.76,Low
Computed Tomography scanners,Number,France,2020,1279,3.11,High
Magnetic Resonance Imaging units,Number,France,2020,1099,3.04,High
Positron Emission Tomography (PET) scanners,Number,France,2020,183,2.26,Medium
Gamma cameras,Number,France,2020,465,2.67,Medium
Computed Tomography scanners,Number,Greece,2020,468,2.67,Medium
Magnetic Resonance Imaging units,Number,Greece,2020,359,2.56,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2020,14,1.15,Low
Gamma cameras,Number,Greece,2020,149,2.17,Medium
Mammographs,Number,Greece,2020,736,2.87,Medium
Radiation therapy equipment,Number,Greece,2020,72,1.86,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2020,10,1,Very Low
Computed Tomography scanners,Number,Iceland,2020,17,1.23,Low
Magnetic Resonance Imaging units,Number,Iceland,2020,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Iceland,2020,1,0,Very Low
Gamma cameras,Number,Iceland,2020,3,0.48,Very Low
Mammographs,Number,Iceland,2020,6,0.78,Very Low
Radiation therapy equipment,Number,Iceland,2020,3,0.48,Very Low
Computed Tomography scanners,Number,Ireland,2020,101,2,Medium
Magnetic Resonance Imaging units,Number,Ireland,2020,78,1.89,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2020,9,0.95,Very Low
Gamma cameras,Number,Ireland,2020,29,1.46,Low
Radiation therapy equipment,Number,Ireland,2020,51,1.71,Low
Computed Tomography scanners,Number,Italy,2020,2225,3.35,High
Magnetic Resonance Imaging units,Number,Italy,2020,1851,3.27,High
Positron Emission Tomography (PET) scanners,Number,Italy,2020,215,2.33,Medium
Gamma cameras,Number,Italy,2020,469,2.67,Medium
Mammographs,Number,Italy,2020,2096,3.32,High
Radiation therapy equipment,Number,Italy,2020,445,2.65,Medium
Computed Tomography scanners,Number,Japan,2020,14595,4.16,Very High
Magnetic Resonance Imaging units,Number,Japan,2020,7240,3.86,High
Positron Emission Tomography (PET) scanners,Number,Japan,2020,594,2.77,Medium
Gamma cameras,Number,Japan,2020,1411,3.15,High
Mammographs,Number,Japan,2020,4261,3.63,High
Computed Tomography scanners,Number,Korea,2020,2104,3.32,High
Magnetic Resonance Imaging units,Number,Korea,2020,1775,3.25,High
Positron Emission Tomography (PET) scanners,Number,Korea,2020,187,2.27,Medium
Gamma cameras,Number,Korea,2020,312,2.49,Medium
Mammographs,Number,Korea,2020,3374,3.53,High
Radiation therapy equipment,Number,Korea,2020,343,2.54,Medium
Computed Tomography scanners,Number,Luxembourg,2020,14,1.15,Low
Magnetic Resonance Imaging units,Number,Luxembourg,2020,11,1.04,Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2020,1,0,Very Low
Gamma cameras,Number,Luxembourg,2020,7,0.85,Very Low
Mammographs,Number,Luxembourg,2020,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2020,6,0.78,Very Low
Computed Tomography scanners,Number,Mexico,2020,855,2.93,Medium
Magnetic Resonance Imaging units,Number,Mexico,2020,338,2.53,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2020,28,1.45,Low
Gamma cameras,Number,Mexico,2020,44,1.64,Low
Mammographs,Number,Mexico,2020,1223,3.09,High
Radiation therapy equipment,Number,Mexico,2020,283,2.45,Medium
Computed Tomography scanners,Number,Netherlands,2020,256,2.41,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2020,233,2.37,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2020,84,1.92,Low
Gamma cameras,Number,Netherlands,2020,120,2.08,Medium
Magnetic Resonance Imaging units,Number,New Zealand,2020,78,1.89,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2020,4,0.6,Very Low
Gamma cameras,Number,New Zealand,2020,18,1.26,Low
Mammographs,Number,New Zealand,2020,114,2.06,Medium
Radiation therapy equipment,Number,New Zealand,2020,41,1.61,Low
Computed Tomography scanners,Number,Norway,2020,167,2.22,Medium
Magnetic Resonance Imaging units,Number,Norway,2020,102,2.01,Medium
Positron Emission Tomography (PET) scanners,Number,Norway,2020,9,0.95,Very Low
Gamma cameras,Number,Norway,2020,27,1.43,Low
Mammographs,Number,Norway,2020,81,1.91,Low
Radiation therapy equipment,Number,Norway,2020,63,1.8,Low
Computed Tomography scanners,Number,Poland,2020,761,2.88,Medium
Magnetic Resonance Imaging units,Number,Poland,2020,397,2.6,Medium
Positron Emission Tomography (PET) scanners,Number,Poland,2020,38,1.58,Low
Gamma cameras,Number,Poland,2020,160,2.2,Medium
Mammographs,Number,Poland,2020,389,2.59,Medium
Radiation therapy equipment,Number,Poland,2020,226,2.35,Medium
Computed Tomography scanners,Number,Slovak Republic,2020,104,2.02,Medium
Magnetic Resonance Imaging units,Number,Slovak Republic,2020,54,1.73,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2020,8,0.9,Very Low
Mammographs,Number,Slovak Republic,2020,88,1.94,Low
Gamma cameras,Number,Slovak Republic,2020,32,1.51,Low
Radiation therapy equipment,Number,Slovak Republic,2020,62,1.79,Low
Computed Tomography scanners,Number,Spain,2020,950,2.98,Medium
Magnetic Resonance Imaging units,Number,Spain,2020,865,2.94,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2020,88,1.94,Low
Gamma cameras,Number,Spain,2020,320,2.51,Medium
Mammographs,Number,Spain,2020,786,2.9,Medium
Radiation therapy equipment,Number,Spain,2020,254,2.4,Medium
Computed Tomography scanners,Number,Sweden,2020,293,2.47,Medium
Magnetic Resonance Imaging units,Number,Sweden,2020,191,2.28,Medium
Positron Emission Tomography (PET) scanners,Number,Sweden,2020,24,1.38,Low
Gamma cameras,Number,Sweden,2020,76,1.88,Low
Mammographs,Number,Sweden,2020,198,2.3,Medium
Radiation therapy equipment,Number,Sweden,2020,66,1.82,Low
Computed Tomography scanners,Number,Switzerland,2020,342,2.53,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2020,34,1.53,Low
Mammographs,Number,Switzerland,2020,256,2.41,Medium
Radiation therapy equipment,Number,Switzerland,2020,162,2.21,Medium
Computed Tomography scanners,Number,Turkish,2020,1248,3.1,High
Magnetic Resonance Imaging units,Number,Turkish,2020,939,2.97,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2020,144,2.16,Medium
Gamma cameras,Number,Turkish,2020,273,2.44,Medium
Mammographs,Number,Turkish,2020,982,2.99,Medium
Radiation therapy equipment,Number,Turkish,2020,245,2.39,Medium
Magnetic Resonance Imaging units,Number,United States,2020,11490,4.06,Very High
Computed Tomography scanners,Number,United States,2020,14115,4.15,Very High
Positron Emission Tomography (PET) scanners,Number,United States,2020,1905,3.28,High
Mammographs,Number,United States,2020,22259,4.35,Very High
Radiation therapy equipment,Number,United States,2020,3770,3.58,High
Computed Tomography scanners,Number,Brazil,2020,5488,3.74,High
Magnetic Resonance Imaging units,Number,Brazil,2020,2911,3.46,High
Computed Tomography scanners,Number,Estonia,2020,27,1.43,Low
Magnetic Resonance Imaging units,Number,Estonia,2020,20,1.3,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2020,3,0.48,Very Low
Gamma cameras,Number,Estonia,2020,3,0.48,Very Low
Mammographs,Number,Estonia,2020,15,1.18,Low
Radiation therapy equipment,Number,Estonia,2020,7,0.85,Very Low
Computed Tomography scanners,Number,Israel,2020,90,1.95,Low
Magnetic Resonance Imaging units,Number,Israel,2020,46,1.66,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2020,15,1.18,Low
Gamma cameras,Number,Israel,2020,87,1.94,Low
Mammographs,Number,Israel,2020,94,1.97,Low
Radiation therapy equipment,Number,Israel,2020,36,1.56,Low
Computed Tomography scanners,Number,Slovenia,2020,40,1.6,Low
Magnetic Resonance Imaging units,Number,Slovenia,2020,28,1.45,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2020,3,0.48,Very Low
Gamma cameras,Number,Slovenia,2020,17,1.23,Low
Mammographs,Number,Slovenia,2020,31,1.49,Low
Radiation therapy equipment,Number,Slovenia,2020,14,1.15,Low
Computed Tomography scanners,Per million population,Australia,2020,67.78,1.83,Low
Magnetic Resonance Imaging units,Per million population,Australia,2020,14.81,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2020,3.86,0.59,Very Low
Gamma cameras,Per million population,Australia,2020,17.23,1.24,Low
Mammographs,Per million population,Australia,2020,21.09,1.32,Low
Radiation therapy equipment,Per million population,Australia,2020,11.58,1.06,Low
Computed Tomography scanners,Per million population,Austria,2020,28.49,1.45,Low
Magnetic Resonance Imaging units,Per million population,Austria,2020,25.35,1.4,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2020,2.58,0.41,Very Low
Gamma cameras,Per million population,Austria,2020,10.21,1.01,Low
Mammographs,Per million population,Austria,2020,21.64,1.34,Low
Radiation therapy equipment,Per million population,Austria,2020,5.72,0.76,Very Low
Computed Tomography scanners,Per million population,Belgium,2020,24.01,1.38,Low
Magnetic Resonance Imaging units,Per million population,Belgium,2020,11.44,1.06,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2020,2.86,0.46,Very Low
Gamma cameras,Per million population,Belgium,2020,26.95,1.43,Low
Mammographs,Per million population,Belgium,2020,36.4,1.56,Low
Mammographs,Per million population,Canada,2020,17.64,1.25,Low
Radiation therapy equipment,Per million population,Canada,2020,2.87,0.46,Very Low
Computed Tomography scanners,Per million population,Czechia,2020,16.26,1.21,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2020,11.03,1.04,Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2020,1.68,0.23,Very Low
Gamma cameras,Per million population,Czechia,2020,11.03,1.04,Low
Mammographs,Per million population,Czechia,2020,10.56,1.02,Low
Radiation therapy equipment,Per million population,Czechia,2020,7.67,0.88,Very Low
Computed Tomography scanners,Per million population,Denmark,2020,40.64,1.61,Low
Positron Emission Tomography (PET) scanners,Per million population,Denmark,2020,8.4,0.92,Very Low
Gamma cameras,Per million population,Denmark,2020,13.72,1.14,Low
Mammographs,Per million population,Denmark,2020,16.12,1.21,Low
Radiation therapy equipment,Per million population,Denmark,2020,12.52,1.1,Low
Computed Tomography scanners,Per million population,Finland,2020,17,1.23,Low
Magnetic Resonance Imaging units,Per million population,Finland,2020,30.56,1.49,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2020,2.89,0.46,Very Low
Mammographs,Per million population,Finland,2020,30.92,1.49,Low
